Location,Duration,Preferences
Vancouver,5 days,"nature, cultural experiences, adventure"
San Francisco,1 week,"family-friendly, shopping, photography"
Tokyo,1 week,"shopping, relaxation"
Marrakech,1 week,"local cuisine, beach, adventure, relaxation"
San Francisco,3 days,"budget-friendly, adventure"
Marrakech,5 days,"relaxation, wildlife, nature"
Prague,3 days,"beach, outdoor activities, photography"
Sydney,5 days,"budget-friendly, shopping, cultural experiences, luxury"
Amsterdam,4 days,"relaxation, local cuisine, nature"
Reykjavik,1 week,"budget-friendly, art, photography"
Marrakech,1 week,"nature, photography, art"
Cape Town,1 week,"outdoor activities, shopping, wildlife"
Tokyo,5 days,"wildlife, art, photography"
Bangkok,4 days,"wildlife, nature, art"
San Francisco,4 days,"relaxation, shopping, cultural experiences"
Kyoto,5 days,"budget-friendly, art, local cuisine"
Amsterdam,4 days,"budget-friendly, wildlife"
Vancouver,5 days,"history, family-friendly, local cuisine, adventure"
Vancouver,5 days,"art, nightlife"
Rio de Janeiro,5 days,"adventure, local cuisine"
Reykjavik,2 days,"shopping, beach, family-friendly, adventure"
Tokyo,1 week,"luxury, nature, beach, history"
Cape Town,3 days,"cultural experiences, history, outdoor activities"
Rome,4 days,"shopping, nature, wildlife, photography"
Bangkok,3 days,"adventure, budget-friendly, nature"
Cape Town,2 days,"relaxation, luxury"
Prague,1 week,"beach, outdoor activities, budget-friendly, history"
Prague,2 days,"wildlife, relaxation"
Vancouver,5 days,"photography, nature"
San Francisco,5 days,"adventure, nature, outdoor activities, wildlife"
Rome,2 days,"family-friendly, beach, local cuisine, cultural experiences"
Amsterdam,1 week,"adventure, wildlife, shopping"
New York,3 days,"beach, wildlife"
San Francisco,5 days,"art, shopping"
Cape Town,1 week,"history, art, nightlife, nature"
Prague,3 days,"shopping, relaxation, wildlife"
Reykjavik,2 days,"luxury, wildlife"
Marrakech,3 days,"family-friendly, luxury, budget-friendly"
Paris,4 days,"adventure, cultural experiences, wildlife, family-friendly"
Dubai,3 days,"luxury, wildlife"
Amsterdam,2 days,"beach, relaxation, luxury"
Bangkok,5 days,"photography, local cuisine, cultural experiences, wildlife"
Kyoto,5 days,"nightlife, local cuisine, adventure, wildlife"
Barcelona,3 days,"wildlife, budget-friendly, luxury, shopping"
Dubai,2 days,"family-friendly, outdoor activities"
Reykjavik,2 days,"family-friendly, local cuisine, adventure"
Marrakech,1 week,"cultural experiences, art"
Cape Town,1 week,"family-friendly, budget-friendly, outdoor activities, wildlife"
San Francisco,4 days,"art, adventure, local cuisine"
Bali,1 week,"nature, family-friendly"
San Francisco,5 days,"history, relaxation, nightlife, family-friendly"
Reykjavik,5 days,"family-friendly, nightlife, photography, shopping"
Marrakech,1 week,"shopping, budget-friendly, art, luxury"
Paris,1 week,"wildlife, local cuisine, nature, history"
Barcelona,2 days,"cultural experiences, shopping, beach, wildlife"
Tokyo,2 days,"nature, adventure, budget-friendly, shopping"
Sydney,5 days,"outdoor activities, relaxation"
Cape Town,1 week,"adventure, nightlife"
New York,4 days,"family-friendly, wildlife, nightlife"
Bali,1 week,"nature, history, wildlife, budget-friendly"
Prague,5 days,"beach, budget-friendly, shopping, history"
Lisbon,4 days,"local cuisine, history, outdoor activities, luxury"
Amsterdam,3 days,"adventure, shopping"
Kyoto,1 week,"photography, local cuisine, adventure"
Sydney,2 days,"nature, wildlife, local cuisine"
Rome,3 days,"art, luxury, history"
Dubai,5 days,"nature, wildlife, photography, outdoor activities"
Bali,4 days,"shopping, wildlife"
Rome,4 days,"photography, nightlife, shopping"
Lisbon,3 days,"budget-friendly, outdoor activities"
Bangkok,2 days,"beach, history, nature, local cuisine"
Paris,3 days,"wildlife, shopping, family-friendly"
Bangkok,2 days,"budget-friendly, luxury"
Rio de Janeiro,5 days,"local cuisine, art, history"
Rio de Janeiro,1 week,"nightlife, outdoor activities, beach, luxury"
Vancouver,5 days,"local cuisine, photography"
Barcelona,5 days,"family-friendly, outdoor activities, local cuisine, wildlife"
Barcelona,3 days,"nightlife, photography, cultural experiences, shopping"
Vancouver,2 days,"family-friendly, adventure, budget-friendly"
Reykjavik,1 week,"local cuisine, luxury, relaxation, budget-friendly"
Reykjavik,3 days,"family-friendly, cultural experiences, photography, nightlife"
Rome,3 days,"outdoor activities, budget-friendly, art"
Bali,5 days,"beach, budget-friendly, local cuisine"
New York,5 days,"nature, wildlife"
Bangkok,4 days,"cultural experiences, relaxation, art"
Paris,5 days,"luxury, adventure"
Lisbon,4 days,"beach, family-friendly, photography, outdoor activities"
Bangkok,3 days,"family-friendly, nightlife, cultural experiences"
Tokyo,5 days,"local cuisine, nightlife, photography"
Paris,3 days,"relaxation, adventure"
Sydney,5 days,"wildlife, luxury, photography, family-friendly"
Amsterdam,5 days,"relaxation, art, shopping, outdoor activities"
Amsterdam,3 days,"art, luxury, relaxation"
Marrakech,4 days,"photography, luxury, outdoor activities"
Kyoto,2 days,"photography, cultural experiences, budget-friendly"
Prague,1 week,"beach, family-friendly"
Vancouver,1 week,"shopping, art, budget-friendly, photography"
Vancouver,3 days,"history, shopping, local cuisine, adventure"
Kyoto,1 week,"outdoor activities, relaxation"
Rome,5 days,"luxury, local cuisine, art, history"
